Date,Close,High,Low,Open,Volume
2021-06-30,14554.7998046875,14582.2998046875,14530.8701171875,14560.0703125,5293810000
2021-07-01,14560.0498046875,14576.6396484375,14483.419921875,14530.6298828125,4410470000
2021-07-02,14727.6298828125,14738.1396484375,14626.8203125,14633.509765625,3751420000
2021-07-06,14786.3603515625,14797.4501953125,14635.3095703125,14755.150390625,4489540000
2021-07-07,14810.5400390625,14891.1904296875,14735.75,14889.759765625,4605630000
2021-07-08,14722.1396484375,14763.669921875,14551.759765625,14577.669921875,4575010000
2021-07-09,14826.08984375,14838.7197265625,14685.5400390625,14709.3203125,3826500000
2021-07-12,14877.8896484375,14899.4599609375,14813.7900390625,14878.7099609375,3897090000
2021-07-13,14874.5400390625,15002.2802734375,14843.7998046875,14871.0400390625,4583460000
2021-07-14,14900.4404296875,15001.1298828125,14871.73046875,14984.8603515625,4496220000
2021-07-15,14794.6904296875,14907.509765625,14717.5498046875,14903.490234375,4512550000
2021-07-16,14681.3798828125,14875.9697265625,14667.099609375,14842.080078125,4069530000
2021-07-19,14549.08984375,14578.9599609375,14455.0703125,14517.9599609375,4537130000
2021-07-20,14728.2099609375,14790.599609375,14530.7802734375,14601.33984375,4652450000
2021-07-21,14842.6298828125,14843.169921875,14710.1103515625,14723.669921875,4098520000
2021-07-22,14940.169921875,14941.3798828125,14865.4697265625,14865.4697265625,3597540000
2021-07-23,15111.7900390625,15125.83984375,14948.0400390625,15004.4296875,3997250000
2021-07-26,15125.9501953125,15142.349609375,15048.23046875,15088.2802734375,4437090000
2021-07-27,14956.9697265625,15107.740234375,14787.7998046875,15103.009765625,4329230000
2021-07-28,15018.099609375,15078.849609375,14913.5498046875,15005.169921875,4268210000
2021-07-29,15048.3603515625,15091.9599609375,15004.419921875,15015.2998046875,3928640000
2021-07-30,14959.900390625,14990.8603515625,14882.3896484375,14882.3896484375,3645050000
2021-08-02,14963.6201171875,15059.8896484375,14945.1298828125,15046.099609375,3746130000
2021-08-03,15061.419921875,15063.66015625,14864.5302734375,14997.2001953125,4141370000
2021-08-04,15083.3896484375,15117.3798828125,15017.1396484375,15059.16015625,4337330000
2021-08-05,15181.6396484375,15184.26953125,15083.83984375,15105.400390625,4107300000
2021-08-06,15109.3603515625,15162.33984375,15063.01953125,15125.740234375,4173090000
2021-08-09,15133.1103515625,15154.6796875,15081.75,15136.1396484375,4111640000
2021-08-10,15053.580078125,15169.4501953125,15010.16015625,15157.3701171875,3991770000
2021-08-11,15027.759765625,15127.7802734375,14972.599609375,15101.8203125,4002340000
2021-08-12,15088.98046875,15097.91015625,14956.25,15012.599609375,4049000000
2021-08-13,15136.6796875,15150.48046875,15079.2998046875,15101.83984375,4061070000
2021-08-16,15140.76953125,15142.0302734375,14931.150390625,15090.0498046875,3973920000
2021-08-17,15002.830078125,15062.7001953125,14906.2197265625,15018.9404296875,4168880000
2021-08-18,14857.919921875,15039.900390625,14846.509765625,14975.01953125,3841840000
2021-08-19,14933.9404296875,15000.1904296875,14773.1904296875,14773.1904296875,4191490000
